participant,group,date,survey,dimension,value
ATRMN,Class 1,2019-02-22T15:21:42Z,Final,Social Presence,2
H2IPW,Class 1,2019-02-22T15:19:21Z,Final,Social Presence,5
R479E,Class 1,2019-02-22T15:18:13Z,Final,Social Presence,1
I5584,Class 1,2019-02-22T15:21:25Z,Final,Social Presence,2
WPNGW,Class 1,2019-02-22T15:22:39Z,Final,Social Presence,2
F7P3E,Class 1,2019-02-22T15:26:55Z,Final,Social Presence,3
MCID1,Class 1,2019-02-22T15:25:50Z,Final,Social Presence,3
QUOGW,Class 1,2019-02-22T15:33:33Z,Final,Social Presence,2
OIA81,Class 1,2019-02-22T15:29:37Z,Final,Social Presence,1
XJ25A,Class 1,2019-02-22T15:31:19Z,Final,Social Presence,2
Z0KOY,Class 1,2019-02-25T10:13:13Z,Final,Social Presence,1
JQQI3,Class 1,2019-02-25T14:13:04Z,Final,Social Presence,2
HRH9P,Class 1,2019-03-01T15:10:25Z,Final,Social Presence,2
TDTPK,Class 2,2020-02-17T10:21:13Z,Final,Social Presence,2
WIN3R,Class 2,2020-02-17T10:27:21Z,Final,Social Presence,2
KW7I6,Class 2,2020-02-17T10:28:32Z,Final,Social Presence,1
41DRO,Class 2,2020-02-17T10:25:08Z,Final,Social Presence,4
Z68B8,Class 2,2020-02-17T10:21:43Z,Final,Social Presence,8
UO7DJ,Class 2,2020-02-17T10:22:47Z,Final,Social Presence,3
IG6VT,Class 2,2020-02-17T10:24:15Z,Final,Social Presence,3
4873I,Class 2,2020-02-17T10:25:24Z,Final,Social Presence,5
BV58S,Class 2,2020-02-17T10:24:51Z,Final,Social Presence,2
DT6KT,Class 2,2020-02-17T10:26:35Z,Final,Social Presence,1
094O8,Class 2,2020-02-17T10:24:23Z,Final,Social Presence,1
GA42L,Class 2,2020-02-17T10:30:52Z,Final,Social Presence,8
QXZIZ,Class 2,2020-02-17T10:30:34Z,Final,Social Presence,5
ATRMN,Class 1,2019-02-22T15:21:42Z,Final,Self-Understanding,5
H2IPW,Class 1,2019-02-22T15:19:21Z,Final,Self-Understanding,5
R479E,Class 1,2019-02-22T15:18:13Z,Final,Self-Understanding,1
I5584,Class 1,2019-02-22T15:21:25Z,Final,Self-Understanding,7
WPNGW,Class 1,2019-02-22T15:22:39Z,Final,Self-Understanding,5
F7P3E,Class 1,2019-02-22T15:26:55Z,Final,Self-Understanding,4
MCID1,Class 1,2019-02-22T15:25:50Z,Final,Self-Understanding,3
QUOGW,Class 1,2019-02-22T15:33:33Z,Final,Self-Understanding,2
OIA81,Class 1,2019-02-22T15:29:37Z,Final,Self-Understanding,1
XJ25A,Class 1,2019-02-22T15:31:19Z,Final,Self-Understanding,4
Z0KOY,Class 1,2019-02-25T10:13:13Z,Final,Self-Understanding,7
JQQI3,Class 1,2019-02-25T14:13:04Z,Final,Self-Understanding,2
HRH9P,Class 1,2019-03-01T15:10:25Z,Final,Self-Understanding,2
TDTPK,Class 2,2020-02-17T10:21:13Z,Final,Self-Understanding,5
WIN3R,Class 2,2020-02-17T10:27:21Z,Final,Self-Understanding,2
KW7I6,Class 2,2020-02-17T10:28:32Z,Final,Self-Understanding,1
41DRO,Class 2,2020-02-17T10:25:08Z,Final,Self-Understanding,2
Z68B8,Class 2,2020-02-17T10:21:43Z,Final,Self-Understanding,4
UO7DJ,Class 2,2020-02-17T10:22:47Z,Final,Self-Understanding,4
IG6VT,Class 2,2020-02-17T10:24:15Z,Final,Self-Understanding,3
4873I,Class 2,2020-02-17T10:25:24Z,Final,Self-Understanding,8
BV58S,Class 2,2020-02-17T10:24:51Z,Final,Self-Understanding,1
DT6KT,Class 2,2020-02-17T10:26:35Z,Final,Self-Understanding,1
094O8,Class 2,2020-02-17T10:24:23Z,Final,Self-Understanding,1
GA42L,Class 2,2020-02-17T10:30:52Z,Final,Self-Understanding,7
QXZIZ,Class 2,2020-02-17T10:30:34Z,Final,Self-Understanding,4
ATRMN,Class 1,2019-02-22T15:21:42Z,Final,Understanding Others,5
H2IPW,Class 1,2019-02-22T15:19:21Z,Final,Understanding Others,5
R479E,Class 1,2019-02-22T15:18:13Z,Final,Understanding Others,1
I5584,Class 1,2019-02-22T15:21:25Z,Final,Understanding Others,7
WPNGW,Class 1,2019-02-22T15:22:39Z,Final,Understanding Others,8
F7P3E,Class 1,2019-02-22T15:26:55Z,Final,Understanding Others,6
MCID1,Class 1,2019-02-22T15:25:50Z,Final,Understanding Others,3
QUOGW,Class 1,2019-02-22T15:33:33Z,Final,Understanding Others,6
OIA81,Class 1,2019-02-22T15:29:37Z,Final,Understanding Others,2
XJ25A,Class 1,2019-02-22T15:31:19Z,Final,Understanding Others,5
Z0KOY,Class 1,2019-02-25T10:13:13Z,Final,Understanding Others,2
JQQI3,Class 1,2019-02-25T14:13:04Z,Final,Understanding Others,7
HRH9P,Class 1,2019-03-01T15:10:25Z,Final,Understanding Others,4
TDTPK,Class 2,2020-02-17T10:21:13Z,Final,Understanding Others,5
WIN3R,Class 2,2020-02-17T10:27:21Z,Final,Understanding Others,2
KW7I6,Class 2,2020-02-17T10:28:32Z,Final,Understanding Others,1
41DRO,Class 2,2020-02-17T10:25:08Z,Final,Understanding Others,5
Z68B8,Class 2,2020-02-17T10:21:43Z,Final,Understanding Others,4
UO7DJ,Class 2,2020-02-17T10:22:47Z,Final,Understanding Others,5
IG6VT,Class 2,2020-02-17T10:24:15Z,Final,Understanding Others,1
4873I,Class 2,2020-02-17T10:25:24Z,Final,Understanding Others,2
BV58S,Class 2,2020-02-17T10:24:51Z,Final,Understanding Others,5
DT6KT,Class 2,2020-02-17T10:26:35Z,Final,Understanding Others,3
094O8,Class 2,2020-02-17T10:24:23Z,Final,Understanding Others,1
GA42L,Class 2,2020-02-17T10:30:52Z,Final,Understanding Others,8
QXZIZ,Class 2,2020-02-17T10:30:34Z,Final,Understanding Others,5
ATRMN,Class 1,2019-02-22T15:21:42Z,Final,Self-Other Comparison,5
H2IPW,Class 1,2019-02-22T15:19:21Z,Final,Self-Other Comparison,5
R479E,Class 1,2019-02-22T15:18:13Z,Final,Self-Other Comparison,1
I5584,Class 1,2019-02-22T15:21:25Z,Final,Self-Other Comparison,5
WPNGW,Class 1,2019-02-22T15:22:39Z,Final,Self-Other Comparison,8
F7P3E,Class 1,2019-02-22T15:26:55Z,Final,Self-Other Comparison,5
MCID1,Class 1,2019-02-22T15:25:50Z,Final,Self-Other Comparison,3
QUOGW,Class 1,2019-02-22T15:33:33Z,Final,Self-Other Comparison,6
OIA81,Class 1,2019-02-22T15:29:37Z,Final,Self-Other Comparison,3
XJ25A,Class 1,2019-02-22T15:31:19Z,Final,Self-Other Comparison,2
Z0KOY,Class 1,2019-02-25T10:13:13Z,Final,Self-Other Comparison,2
JQQI3,Class 1,2019-02-25T14:13:04Z,Final,Self-Other Comparison,10
HRH9P,Class 1,2019-03-01T15:10:25Z,Final,Self-Other Comparison,7
TDTPK,Class 2,2020-02-17T10:21:13Z,Final,Self-Other Comparison,8
WIN3R,Class 2,2020-02-17T10:27:21Z,Final,Self-Other Comparison,4
KW7I6,Class 2,2020-02-17T10:28:32Z,Final,Self-Other Comparison,1
41DRO,Class 2,2020-02-17T10:25:08Z,Final,Self-Other Comparison,5
Z68B8,Class 2,2020-02-17T10:21:43Z,Final,Self-Other Comparison,8
UO7DJ,Class 2,2020-02-17T10:22:47Z,Final,Self-Other Comparison,6
IG6VT,Class 2,2020-02-17T10:24:15Z,Final,Self-Other Comparison,5
4873I,Class 2,2020-02-17T10:25:24Z,Final,Self-Other Comparison,1
BV58S,Class 2,2020-02-17T10:24:51Z,Final,Self-Other Comparison,4
DT6KT,Class 2,2020-02-17T10:26:35Z,Final,Self-Other Comparison,2
094O8,Class 2,2020-02-17T10:24:23Z,Final,Self-Other Comparison,1
GA42L,Class 2,2020-02-17T10:30:52Z,Final,Self-Other Comparison,8
QXZIZ,Class 2,2020-02-17T10:30:34Z,Final,Self-Other Comparison,5
ATRMN,Class 1,2019-02-22T15:21:42Z,Final,Self-Regulation,5
H2IPW,Class 1,2019-02-22T15:19:21Z,Final,Self-Regulation,5
R479E,Class 1,2019-02-22T15:18:13Z,Final,Self-Regulation,1
I5584,Class 1,2019-02-22T15:21:25Z,Final,Self-Regulation,3
WPNGW,Class 1,2019-02-22T15:22:39Z,Final,Self-Regulation,2
F7P3E,Class 1,2019-02-22T15:26:55Z,Final,Self-Regulation,3
MCID1,Class 1,2019-02-22T15:25:50Z,Final,Self-Regulation,3
QUOGW,Class 1,2019-02-22T15:33:33Z,Final,Self-Regulation,2
OIA81,Class 1,2019-02-22T15:29:37Z,Final,Self-Regulation,1
XJ25A,Class 1,2019-02-22T15:31:19Z,Final,Self-Regulation,3
Z0KOY,Class 1,2019-02-25T10:13:13Z,Final,Self-Regulation,1
JQQI3,Class 1,2019-02-25T14:13:04Z,Final,Self-Regulation,1
HRH9P,Class 1,2019-03-01T15:10:25Z,Final,Self-Regulation,3
TDTPK,Class 2,2020-02-17T10:21:13Z,Final,Self-Regulation,4
WIN3R,Class 2,2020-02-17T10:27:21Z,Final,Self-Regulation,2
KW7I6,Class 2,2020-02-17T10:28:32Z,Final,Self-Regulation,1
41DRO,Class 2,2020-02-17T10:25:08Z,Final,Self-Regulation,3
Z68B8,Class 2,2020-02-17T10:21:43Z,Final,Self-Regulation,5
UO7DJ,Class 2,2020-02-17T10:22:47Z,Final,Self-Regulation,4
IG6VT,Class 2,2020-02-17T10:24:15Z,Final,Self-Regulation,2
4873I,Class 2,2020-02-17T10:25:24Z,Final,Self-Regulation,6
BV58S,Class 2,2020-02-17T10:24:51Z,Final,Self-Regulation,1
DT6KT,Class 2,2020-02-17T10:26:35Z,Final,Self-Regulation,1
094O8,Class 2,2020-02-17T10:24:23Z,Final,Self-Regulation,1
GA42L,Class 2,2020-02-17T10:30:52Z,Final,Self-Regulation,8
QXZIZ,Class 2,2020-02-17T10:30:34Z,Final,Self-Regulation,5
